[0.012s][debug][gc,heap] Minimum heap 8388608  Initial heap 262144000  Maximum heap 4167041024
[0.012s][info ][gc,init] Initializing The Z Garbage Collector
[0.012s][info ][gc,init] Version: 25.0.1+8 (release)
[0.012s][info ][gc,init] NUMA Support: Disabled
[0.012s][info ][gc,init] CPUs: 4 total, 4 available
[0.012s][info ][gc,init] Memory: 15893M
[0.012s][info ][gc,init] Large Page Support: Disabled
[0.012s][info ][gc,init] Address Space Size: unlimited
[0.012s][debug][gc,init] Reserved Space: limit 4096G, desired 63584M, requested 63584M
[0.012s][info ][gc,init] Reserved Space Type: Contiguous/Unrestricted/Complete
[0.012s][info ][gc,init] Reserved Space Size: 63584M
[0.013s][info ][gc,init] Heap Backing File: /memfd:java_heap
[0.013s][info ][gc,init] Heap Backing Filesystem: tmpfs (0x1021994)
[0.015s][info ][gc,init] Min Capacity: 8M
[0.015s][info ][gc,init] Initial Capacity: 250M
[0.015s][info ][gc,init] Max Capacity: 3974M
[0.015s][info ][gc,init] Soft Max Capacity: 3576M
[0.015s][info ][gc,init] Page Size Medium: Range [4M, 32M]
[0.015s][info ][gc,init] Pre-touch: Disabled
[0.015s][info ][gc,init] Available space on backing filesystem: N/A
[0.018s][info ][gc,init] Uncommit: Enabled
[0.018s][info ][gc,init] Uncommit Delay: 300s
[0.018s][info ][gc,init] GC Workers for Old Generation: 1 (dynamic)
[0.020s][info ][gc,init] GC Workers for Young Generation: 1 (dynamic)
[0.171s][info ][gc,init] GC Workers Max: 1 (dynamic)
[0.175s][info ][gc,init] Runtime Workers: 3
[0.178s][info ][gc     ] Using The Z Garbage Collector
[0.472s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor.modsHashCode (0x00007f3240403e08) [0x00007f3240403f00, 0x00007f3240404538] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.472s][debug][gc,nmethod  ] Register NMethod: java.util.Set.of (0x00007f3240404588) [0x00007f3240404680, 0x00007f3240404768] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[0.472s][debug][gc,nmethod  ] Register NMethod: java.util.AbstractCollection.<init> (0x00007f3240404888) [0x00007f3240404980, 0x00007f3240404ad8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.472s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$AbstractImmutableCollection.<init> (0x00007f3240404b88) [0x00007f3240404c80, 0x00007f3240404e38] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.473s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$AbstractImmutableSet.<init> (0x00007f3240404e88) [0x00007f3240404f80, 0x00007f3240405198] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.474s][debug][gc,nmethod  ] Register NMethod: java.util.Set.of (0x00007f3240405208) [0x00007f3240405300, 0x00007f3240405b98] Compiler: c1, Barriers: 9, Oops: 0, ImmediateOops: 2, NonImmediateOops: No
[0.474s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN.iterator (0x00007f3240405c08) [0x00007f3240405d00, 0x00007f3240405ea8] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.475s][debug][gc,director ] Rule Major: Warmup 10%, Used: 6MB, UsedThreshold: 357MB
[0.476s][debug][gc,nmethod  ] Register NMethod: java.lang.System.arraycopy (0x00007f3247ec7488) [0x00007f3247ec7580, 0x00007f3247ec7700] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 1, NonImmediateOops: No
[0.476s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.ArraysSupport.unsignedHashCode (0x00007f3247ec7788) [0x00007f3247ec7880, 0x00007f3247ec7a28] Compiler: c2, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.477s][debug][gc,nmethod  ] Register NMethod: java.lang.Object.<init> (0x00007f3247ec7a88) [0x00007f3247ec7b80, 0x00007f3247ec7bf8] Compiler: c2, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.477s][debug][gc,nmethod  ] Register NMethod: java.lang.String.coder (0x00007f3240405f08) [0x00007f3240406000, 0x00007f3240406128] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.477s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor.name (0x00007f3247ec7d88) [0x00007f3247ec7e80, 0x00007f3247ec7f68] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.478s][debug][gc,nmethod  ] Register NMethod: java.lang.String.isLatin1 (0x00007f3240406208) [0x00007f3240406300, 0x00007f3240406460] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.478s][debug][gc,nmethod  ] Register NMethod: java.lang.String.length (0x00007f3240406508) [0x00007f3240406600, 0x00007f3240406840] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.478s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleReference.descriptor (0x00007f3247ec8088) [0x00007f3247ec8180, 0x00007f3247ec8268] Compiler: c1, Barriers: 1, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.479s][debug][gc,nmethod  ] Register NMethod: java.net.URI.hash (0x00007f3240406888) [0x00007f3240406980, 0x00007f3240406cc0] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.479s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor$Exports.<init> (0x00007f3240406d08) [0x00007f3240406e00, 0x00007f32404070c0] Compiler: c1, Barriers: 9, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.480s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN$SetNIterator.<init> (0x00007f3240407108) [0x00007f3240407200, 0x00007f3240407588] Compiler: c1, Barriers: 4, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.480s][debug][gc,nmethod  ] Register NMethod: java.util.ImmutableCollections$SetN$SetNIterator.hasNext (0x00007f3240407608) [0x00007f3240407700, 0x00007f3240407850] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.480s][debug][gc,nmethod  ] Register NMethod: java.lang.module.ModuleDescriptor$Exports.hashCode (0x00007f3240407908) [0x00007f3240407a00, 0x00007f3240407d98] Compiler: c1, Barriers: 3, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.481s][debug][gc,nmethod  ] Register NMethod: java.lang.String.charAt (0x00007f3240407e08) [0x00007f3240407f00, 0x00007f3240408350] Compiler: c1, Barriers: 2, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[0.481s][debug][gc,nmethod  ] Register NMethod: java.lang.StringLatin1.charAt (0x00007f3240408388) [0x00007f3240408480, 0x00007f3240408640] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[0.482s][debug][gc,nmethod  ] Register NMethod: java.lang.String.checkIndex (0x00007f3240408688) [0x00007f3240408780, 0x00007f32404088a8] Compiler: c1, Barriers: 0, Oops: 1, ImmediateOops: 1, NonImmediateOops: No
[0.482s][debug][gc,nmethod  ] Register NMethod: jdk.internal.util.Preconditions.checkIndex (0x00007f3240408988) [0x00007f3240408a80, 0x00007f3240408c08] Compiler: c1, Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
[0.482s][debug][gc,nmethod  ] Register NMethod: jdk.internal.misc.Unsafe.compareAndSetLong (0x00007f3247ec8388) [0x00007f3247ec8480, 0x00007f3247ec85f0] Compiler: , Barriers: 0, Oops: 0, ImmediateOops: 0, NonImmediateOops: No
